No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,UM 257,00h34m08.5704s,+00d33m40.026s,8.53571,0.5611185,G,20627.7255227742,0.068806686,SLS,19,0,71,11,8,10,0,0,1,1
2,MCG +00-02-101,00h38m26.6384s,-00d00m42.551s,9.6109934,-0.0118199,G,13473.3386017768,0.04494222,SLS,26,0,59,19,14,8,0,0,2,3
3,UM 269,00h43m19.7396s,+00d51m15.325s,10.8322484,0.8542571,QSO,92405.02932934,0.30823,SUN,102,0,73,31,34,8,0,1,0,1
4,UM 326,01h27m37.1736s,+00d56m42.271s,21.90489,0.94507545,WD*,14.7007818604907,4.903653e-05,SLS,5,0,13,6,3,4,0,0,0,1
5,UM 341,01h34m18.1898s,+00d15m36.692s,23.575791,0.2601924,QSO,120216.775658,0.401,SLS,87,0,95,29,32,13,0,1,0,2
6,IC 0145,01h38m38.4766s,+00d44m29.312s,24.6603194,0.7414757,G,12798.6676667461,0.04269176,SLS,41,0,72,18,14,12,0,1,2,2
7,UM 399,02h08m40.4393s,+00d17m12.592s,32.1684970752,0.2868312812,*,0.0,0.0,SLS,4,0,12,4,1,4,0,0,0,0
8,UM 417,02h19m30.2937s,-00d59m11.658s,34.876224,-0.9865717,G,2530.847930436,0.008442,SLS,34,3,28,10,8,0,0,2,4,0
9,ZTF18acefogm,10h49m57.6432s,+51d52m10.917s,162.4901802,51.8696992,G,7173.40545474049,0.023927905,SLS,32,0,55,16,10,8,1,2,2,1
10,MCG +09-18-044,10h52m14.7504s,+50d33m40.356s,163.06146,50.56121,G,7728.57701746516,0.025779758,SLS,25,0,62,29,18,9,0,0,1,1
11,MCG +09-18-054,10h54m44.7900s,+50d44m39.152s,163.686625,50.744209,G,7442.90148651993,0.024826847,SLS,21,0,57,10,5,11,0,0,2,1
12,MCG +09-19-027,11h17m30.7333s,+51d57m59.025s,169.3780556,51.9663959,G,8245.93245974526,0.02750547,SLS,39,0,70,24,21,11,0,1,2,1
13,CGCG 268-027,11h22m49.9359s,+51d12m27.816s,170.7080664,51.2077267,G,7828.77185402318,0.026113972,SLS,37,0,68,20,17,11,0,1,2,2
14,ZTF18aauhytx,11h26m37.7339s,+51d34m23.090s,171.6572249,51.5730806,G,7918.5381101372,0.0264134,SLS,63,0,76,36,31,11,0,2,2,0
15,CGCG 268-037,11h26m56.5745s,+50d35m49.238s,171.7357271,50.5970108,G,6966.0674918254,0.0232363,SLS,28,0,67,14,10,10,1,2,1,1
16,MCG +09-19-085,11h28m46.2920s,+52d14m54.683s,172.1928835,52.2485231,G,14524.4511317141,0.048448354,SLS,22,0,42,17,12,7,0,0,2,0
17,MCG +09-19-187,11h47m46.1700s,+51d02m49.151s,176.9423751,51.0469866,G,16998.6520780412,0.0567014,SLS,16,0,52,15,10,7,0,0,2,1
18,MCG +09-19-203,11h49m25.5381s,+52d17m21.955s,177.356409,52.2894322,G,15846.3398072266,0.0528577,SLS,27,0,63,10,8,11,1,1,2,1
19,CGCG 268-090,11h50m05.8321s,+50d28m02.815s,177.5243004,50.4674487,G,7053.6332712977,0.023528388,SLS,42,0,72,25,19,11,0,2,2,1
20,MCG +09-19-213,11h50m32.5260s,+55d03m28.675s,177.6355253,55.0579655,G,5494.09461744177,0.018326327,SLS,41,0,71,18,14,11,0,2,2,1
21,MRK 1465,12h03m17.1029s,+51d24m14.136s,180.8212622743,51.4039267684,G,8802.506151796,0.029362,SLS,12,0,17,7,8,4,0,0,1,0
22,MCG +09-20-075,12h03m32.2441s,+51d43m35.045s,180.8843506,51.7264016,G,20186.6120992428,0.06733529,SLS,11,0,50,10,6,6,0,0,2,0
23,ZTF18aamsjpn,12h14m19.4997s,+51d18m09.852s,183.5812488,51.3027369,G,3941.89218482555,0.013148737,SLS,31,0,71,21,16,11,0,1,2,2
24,MCG +09-20-126,12h15m09.8915s,+50d41m06.923s,183.7912146,50.6852566,G,8902.67850391966,0.029696139,SLS,32,0,66,14,11,11,0,1,2,1
25,MCG +09-20-148,12h20m03.1595s,+55d48m56.598s,185.0131646,55.8157217,G,10244.6877502508,0.0341726,SLS,31,0,65,17,12,11,0,0,2,1
26,MCG +09-20-150,12h20m23.4216s,+55d43m57.784s,185.09759,55.732718,G,9270.79036538082,0.030924028,SLS,22,0,34,18,14,8,0,0,2,1
27,ZTF18aaxydyj,12h23m31.0804s,+55d39m23.576s,185.8795018,55.6565491,G,9319.2584116506,0.0310857,SLS,34,1,67,18,15,12,0,3,2,1
28,MCG +09-20-173,12h25m46.8183s,+55d08m12.789s,186.4450764,55.136886,G,19961.5549030976,0.06658458,SLS,18,0,62,17,11,9,0,0,1,1
29,SBS 1224+561A,12h26m25.1918s,+55d49m42.421s,186.6049659,55.8284504,G,15561.9566815678,0.0519091,SLS,26,1,72,19,14,11,0,0,2,1
30,ZTF18aaiidgi,12h46m26.8511s,+50d47m31.326s,191.6118799,50.7920351,G,8094.40895728324,0.027000042,SLS,44,0,73,23,17,12,0,2,2,2
31,MCG +09-21-046,12h46m41.8590s,+50d43m47.727s,191.6744125,50.7299242,G,8154.87889481658,0.027201748,SLS,22,0,52,15,11,7,0,1,2,1
32,NGC 4998,13h08m10.1725s,+50d39m49.383s,197.0423858,50.6637176,G,8914.928323546,0.029737,SUN,19,0,46,16,10,8,0,0,2,1
33,MCG +09-23-002,13h44m21.5700s,+55d51m21.431s,206.0898751,55.8559531,G,11215.571621333,0.03741112,SLS,51,0,91,26,19,11,0,1,2,1
34,MCG +09-23-006,13h45m00.1384s,+51d05m20.126s,206.250577,51.088924,G,8571.96874951858,0.02859301,SLS,20,0,39,18,14,8,0,0,2,1
35,MCG +09-23-063,14h19m53.2479s,+52d05m57.666s,214.9718665,52.0993517,G,13056.3722615675,0.04355137,SLS,26,0,66,15,11,12,0,0,2,1
36,ZTF18aagstka,15h07m45.0038s,+51d27m10.306s,226.9375159,51.4528628,G,13765.3796259827,0.045916364,SLS,131,3,92,40,29,11,0,3,2,1
37,ZTF19acllhlh,01h25m28.8438s,-00d05m55.932s,21.3701826754167,-0.0988700383333333,QSO,322136.859292868,1.0745329,SLS,307,4,144,68,69,8,0,2,5,7
38,SDSS J120317.39+512400.0,12h03m17.3962s,+51d24m00.046s,180.8224844132,51.4000129177,G,8735.352641204,0.029138,SLS,4,0,5,6,6,4,0,0,1,0
39,4C -00.03,00h36m27.0014s,+00d13m03.619s,9.1125062,0.217672,QSO,168290.295053048,0.561356,SUN,48,0,55,19,12,4,0,1,1,0
40,WISEA J003305.02-000830.1,00h33m05.0224s,-00d08m30.191s,8.2709267,-0.1417199,G,64455.37847,0.215,SUN,5,0,47,9,2,4,0,0,1,0
41,FGC 0061,00h34m43.4897s,-00d02m26.863s,8.6812072,-0.0407954,G,12595.5603749983,0.042014267,SLS,58,0,69,25,21,6,0,2,4,3
42,ZTF18abwhdpm,00h46m53.7612s,+00d36m46.648s,11.724005,0.612958,G,20687.189057026,0.069005035,SLS,25,1,58,12,11,10,0,0,2,1
43,WISEA J011254.98+004051.9,01h12m54.9861s,+00d40m51.940s,18.229109,0.6810946,G,19427.2617865255,0.06480237,SLS,25,0,78,20,14,10,4,0,2,1
